YRQTR,New Originations ($Billions),Number of New Accounts (Millions),Original Credit Limit (50th percentile),Original Credit Limit (75th percentile),Original Credit Limit (90th percentile),Original Credit Score (10th percentile),Original Credit Score (25th percentile),Original Credit Score (50th percentile),Average Original Purchase APR: General Purpose,Average Original Purchase APR: Private Label,Median Original Credit Limit by Credit Score Group: <660 Credit Score,Median Original Credit Limit by Credit Score Group: 660-719 Credit Score,Median Original Credit Limit by Credit Score Group: >=720 Credit Score,Percentage of New Accounts with <660 Credit Score,Percentage of New Commitments with <660 Credit Score
2022Q1,$83.71,16.41,"$2,484.62","$7,111.11","$13,125.00",618,660,720,21.98 %,26.12 %,$700.00,"$2,426.67","$6,562.50",23.34 %,6.22 %
2022Q2,$98.66,19.54,"$2,484.62","$7,111.11","$13,125.00",619,658,716,22.65 %,26.35 %,$700.00,"$2,513.33","$6,737.50",24.05 %,6.52 %
2022Q3,$104.34,20.35,"$2,484.62","$7,111.11","$13,125.00",620,660,718,23.87 %,27.40 %,$700.00,"$2,600.00","$7,000.00",22.97 %,6.13 %
2022Q4,$106.47,20.60,"$2,484.62","$7,111.11","$13,125.00",619,660,720,25.59 %,28.52 %,$700.00,"$2,166.67","$6,650.00",23.41 %,5.91 %
2023Q1,$106.69,18.09,"$3,312.82","$8,533.33","$15,050.00",623,668,728,26.13 %,28.81 %,$700.00,"$2,600.00","$7,000.00",20.21 %,4.69 %
2023Q2,$113.95,19.65,"$3,312.82","$8,088.89","$14,875.00",625,669,729,26.68 %,28.88 %,$700.00,"$2,600.00","$7,000.00",19.85 %,4.60 %
2023Q3,$110.68,19.47,"$3,312.82","$8,000.00","$14,000.00",628,671,729,26.98 %,29.10 %,$700.00,"$2,600.00","$7,000.00",18.60 %,4.45 %
2023Q4,$108.47,20.10,"$2,923.08","$8,000.00","$13,000.00",628,672,731,27.60 %,30.01 %,$600.00,"$2,500.00","$6,300.00",18.90 %,4.57 %
2024Q1,$102.85,16.75,"$3,800.00","$8,500.00","$15,000.00",628,676,736,27.10 %,30.10 %,$700.00,"$2,500.00","$7,500.00",17.75 %,4.05 %
2024Q2,$106.78,17.63,"$4,000.00","$8,000.00","$15,000.00",631,678,737,27.67 %,30.67 %,$750.00,"$2,500.00","$7,000.00",17.00 %,4.01 %
2024Q3,$100.36,17.02,"$3,600.00","$8,000.00","$15,000.00",633,680,738,28.22 %,31.95 %,$750.00,"$2,500.00","$7,000.00",15.95 %,3.94 %
2024Q4,$102.04,17.85,"$3,500.00","$8,000.00","$14,000.00",631,679,739,28.21 %,32.10 %,$600.00,"$2,400.00","$6,000.00",16.87 %,4.01 %
2025Q1,$96.93,15.41,"$4,000.00","$9,000.00","$15,000.00",631,681,741,27.29 %,32.02 %,$500.00,"$2,800.00","$7,400.00",16.38 %,3.65 %

Source: Philadelphia Fed FR Y-14M Data
Website: https://www.philadelphiafed.org/surveys-and-data/large-bank-credit-card-and-mortgage-data
Email: Phil.LargeBankData@phil.frb.org
